Pergunta;Opcao1;Opcao2;Opcao3;Opcao4;Opcao5;Correta;Faixa;Midia;CreditoNome;CreditoLink;;CATEGORIA
penalidade leve (orientação);shidō;hansoku-make;chui;keikoku;;shidō;amarela;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
"""um ponto""";ippon;waza-ari;yuko;ichiban;;ippon;amarela;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
desclassificação;hansoku-make;shidō;chui;keikoku;;hansoku-make;amarela;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
existe técnica;waza-ari;ippon;yuko;koka;;waza-ari;laranja;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Não se mexa!;Sonomama!;Yoshi!;Hajime!;Mate!;;Sonomama!;cinza;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Pare!;Mate!;Hajime!;Yoshi!;Sonomama!;;Mate!;branca;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Pare!;Mate!;Hajime!;Yoshi!;Sonomama!;;Mate!;cinza;;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Qual arte marcial deu origem ao judô?;Jiu-jítsu;Jiu-Jitsu Brasileiro;Sumô;Caratê-dô;;Jiu-jítsu;amarela;;Luiz Pavani;instagram.com/luizpavani;;Historia
"""Nunca te orgulhes de haver derrotado um adversário; o que venceste hoje poderá derrotar-te amanhã. A única vitória que perdura é a que se conquista sobre a própria ______"". Jigorō Kanō";ignorância;perfeição;glória;riquesa;;ignorância;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
"""Somente se aproxima da ______ quem a procura com constância, sabedoria e sobretudo muita humildade"". Jigorō Kanō";perfeição;glória;riquesa;medalha;;perfeição;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Brasileiros medalhistas de ouro em mundiais sênior;João Derly;Tiago Camilo;Luciano Corrêa;Rafaela Silva;Mayra Aguiar;João Derly|Tiago Camilo|Luciano Corrêa|Rafaela Silva|Mayra Aguiar;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Brasileiros medalhistas de ouro em olimpíadas;Aurélio Miguel;Rogério Sampaio;Sarah Menezes;Rafaela Silva;Beatriz Souza;Aurélio Miguel|Rogério Sampaio|Sarah Menezes|Rafaela Silva|Beatriz Souza;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
"Como se chamavam os alunos de Jigorō Kanō que ficaram conhecidos como ""Os Quatro Guardiões da Kōdōkan"" (Kōdōkan Shiten’nō) [na ordem em que entraram na Kōdōkan] ?";Tsunejiro Tomita;Shirō Saigo;Sakujiro Yokoyama;Yoshitsugu Yamashita;;Tsunejiro Tomita|Shirō Saigo|Sakujiro Yokoyama|Yoshitsugu Yamashita;roxa;;Luiz Pavani;instagram.com/luizpavani;;Historia
Depois de Jigorō Kanō, quem foram os Kōdōkanchō (Diretores da Kōdōkan)?;Jirō Nangō;Risei Kanō;Yukimitsu Kanō;Haruki Uemura;;Jirō Nangō|Risei Kanō|Yukimitsu Kanō|Haruki Uemura;roxa;;Luiz Pavani;instagram.com/luizpavani;;Historia
Em quais Jogos Olímpicos o judô brasileiro conquistou sua primeira medalha de ouro?;Seul, 1988;Barcelona, 1992;Rio, 2016;Tóquio, 1964;;Seul, 1988;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Em quais Jogos Olímpicos o judô brasileiro conquistou sua primeira medalha?;Munique, 1972;Cidade do México, 1968;Tóquio, 1964;Seul, 1988;;Munique, 1972;laranja;;Luiz Pavani;instagram.com/luizpavani;;Historia
Em quais Jogos Olímpicos o judô feminino fez sua estréia?;Seul, 1988;Tóquio, 1964;Atlanta, 1996;Moscou, 1980;;Seul, 1988;laranja;;Luiz Pavani;instagram.com/luizpavani;;Historia
Em quais Jogos Olímpicos o judô fez sua estréia?;Tóquio, 1964;Tóquio, 1940;Munique, 1972;Seul, 1988;;Tóquio, 1964;amarela;;Luiz Pavani;instagram.com/luizpavani;;Historia
Nome completo da arte marcial criada por Jigorō Kanō;Nihon-den Kōdōkan Jūdō;Jūdō;Kōdōkan Jūdō;Kanō Jūjutsu;;Nihon-den Kōdōkan Jūdō;laranja;;Luiz Pavani;instagram.com/luizpavani;;Historia
Princípios e conceitos básicos do judô: jita-kyōei;Bem-estar e benefício mútuo.;Máxima eficiência no uso da energia.;A suvidade controla a força.;Iniciar e terminar com uma saudação de respeito.;;Bem-estar e benefício mútuo.;amarela;;Luiz Pavani;instagram.com/luizpavani;;Historia
Princípios e conceitos básicos do judô: jū-yoku-gō-o-seisu;A suvidade controla a força.;Máxima eficiência no uso da energia.;Bem-estar e benefício mútuo.;Iniciar e terminar com uma saudação de respeito.;;A suvidade controla a força.;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Princípios e conceitos básicos do judô: rei-ni-hajimari-rei-ni-owaru;Iniciar e terminar com uma saudação de respeito.;Máxima eficiência, mínimo esforço.;Bem-estar e benefício mútuo.;A suvidade controla a força.;;Iniciar e terminar com uma saudação de respeito.;roxa;;Luiz Pavani;instagram.com/luizpavani;;Historia
Princípios e conceitos básicos do judô: seiryoku-zen'yō;Máxima eficiência no uso da energia.;Bem-estar e benefício mútuo.;A suvidade controla a força.;Iniciar e terminar com uma saudação de respeito.;;Máxima eficiência no uso da energia.;amarela;;Luiz Pavani;instagram.com/luizpavani;;Historia
Quais os dois principais estilos de jūjutsu que Jigorō Kanō praticou?;Tenjin-Shinyō-ryū;Kitō-ryū;Yōshin-ryū;Kyūshin-ryū;;Tenjin-Shinyō-ryū|Kitō-ryū;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Quais os nomes dos mestres de jūjutsu de Jigorō Kanō?;Hachinosuke Fukuda;Masatomo Iso;Tsunetoshi likubo;Genshiro Imai;;Hachinosuke Fukuda|Masatomo Iso|Tsunetoshi likubo;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual a rota da última viagem de Jigorō Kanō?;Japão - Egito - Europa - América - Japão;Japão - Egito - Japão;Japão - Egito - Austrália - Japão;Japão - Europa - Japão;;Japão - Egito - Europa - América - Japão;azul;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual o ano de fundação da Kōdōkan, considerado como o ano de criação do judô?;1882;1885;1860;1888;;1882;cinza;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual o nome da arte que deu origem ao judô?;Brazilian Jiu-Jitsu;Jūjutsu / Jiu-jítsu;Karate;Sumô;;Jūjutsu / Jiu-jítsu;cinza;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual o nome da instituição fundada por Jigorō Kanō?;Kōdōkan;Federação Internacional de Judô;Eishō-ji;Budōkan;;Kōdōkan;cinza;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual o nome da mãe de Jigorō Kanō?;Sadako Kanō;Jirosaku Kanō;Yukimitsu Kanō;Risei Kanō;;Sadako Kanō;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual o nome do pai de Jigorō Kanō?;Mareshiba Shōgenji / Jirōsaku Kanō;Yukimitsu Kanō;Risei Kanō;Sadako Kanō;;Mareshiba Shōgenji / Jirōsaku Kanō;verde;;Luiz Pavani;instagram.com/luizpavani;;Historia
Quando e onde morreu Jigorō Kanō?;4 de maio de 1938, no Hikawa-Maru;4 de maio de 1938, na Kōdōkan;28 de outubro de 1938, na Kōdōkan;28 de outubro de 1938, no Hikawa-Maru;;4 de maio de 1938, no Hikawa-Maru;azul;;Luiz Pavani;instagram.com/luizpavani;;Historia
Quando e onde nasceu Jigorō Kanō?;4 de maio de 1860, Mikage, Kõbe, Hyogo, Japão;28 de outubro de 1860, em Tóquio no Japão;4 de maio de 1860, em Tóquio no Japão;28 de outubro de 1860, Mikage, Kõbe, Hyogo, Japão;;28 de outubro de 1860, Mikage, Kõbe, Hyogo, Japão;azul;;Luiz Pavani;instagram.com/luizpavani;;Historia
Quem criou o judô?;Jigorō Kanō;Morihei Ueshiba;Gichin Funakoshi;Risei Kanō;;Jigorō Kanō;branca;;Luiz Pavani;instagram.com/luizpavani;;Historia
Qual a ordem das técnicas do 1º grupo do Nage-no-Kata?;uki-otoshi;seoi-nage;kata-guruma;ippon-seoi-nage;sumi-otoshi;uki-otoshi|seoi-nage|kata-guruma;amarela;;Luiz Pavani;instagram.com/luizpavani;;Kata
Qual a ordem das técnicas do 2º grupo do Nage-no-Kata?;uki-goshi;tsurikomi-goshi;harai-goshi;ō-goshi;uchi-mata;uki-goshi|harai-goshi|tsurikomi-goshi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Kata
Qual a ordem das técnicas do 3º grupo do Nage-no-Kata?;okuri-ashi-harai;sasae-tsurikomi-ashi ;uchi-mata;de-ashi-harai;harai-goshi;okuri-ashi-harai|sasae-tsurikomi-ashi|uchi-mata;verde;;Luiz Pavani;instagram.com/luizpavani;;Kata
Qual a ordem das técnicas do 4º grupo do Nage-no-Kata?;tomoe-nage;ura-nage;sumi-gaeshi;hikikomi-gaeshi;tawara-gaeshi;tomoe-nage|ura-nage|sumi-gaeshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Kata
Qual a ordem das técnicas do 5º grupo do Nage-no-Kata?;yoko-gake;yoko-guruma;uki-waza;uki-otoshi;yoko-otoshi;yoko-gake|yoko-guruma|uki-waza;marrom;;Luiz Pavani;instagram.com/luizpavani;;Kata
Qual a ordem das técnicas do 1º grupo do Katame-no-Kata?;kesa-gatame;kata-gatame;kami-shihō-gatame;yoko-shihō-gatame;kuzure-kami-shihō-gatame;kesa-gatame|kata-gatame|kami-shihō-gatame|yoko-shihō-gatame|kuzure-kami-shihō-gatame;verde;;;;;Kata
Qual a ordem das técnicas do 2º grupo do Katame-no-Kata?;kata-jūji-jime;hadaka-jime;okuri-eri-jime;kataha-jime;gyaku-jūji-jime;kata-jūji-jime|hadaka-jime|okuri-eri-jime|kataha-jime|gyaku-jūji-jime;roxa;;;;;Kata
Qual a ordem das técnicas do 3º grupo do Katame-no-Kata?;ude-garami;ude-hishigi-jūji-gatame;ude-hishigi-ude-gatame;ude-hishigi-hiza-gatame;ashi-garami;ude-garami|ude-hishigi-jūji-gatame|ude-hishigi-ude-gatame|ude-hishigi-hiza-gatame|ashi-garami;marrom;;;;;Kata
7;shichi;yon;shi;roku;;shichi;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
42;yon-jū-ni;shi-jū-ni;shichi-jū-ni;shi-ni;;yon-jū-ni;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
1, 2, 3, 4, 5;ichi;ni;san;shi;go;ichi|ni|san|shi|go;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
11, 12, 13, 14, 15;jū-ichi;jū-ni;jū-san;jū-shi;jū-go;jū-ichi|jū-ni|jū-san|jū-shi|jū-go;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
16, 17, 18, 19, 20;jū-roku;jū-shichi;jū-hachi;jū-kyū;ni-jū;jū-roku|jū-shichi|jū-hachi|jū-kyū|ni-jū;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
20, 30, 40, 50, 55;ni-jū;san-jū;yon-jū;go-jū;go-jū-go;ni-jū|san-jū|yon-jū|go-jū|go-jū-go;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
6, 7, 8, 9, 10;roku;shichi;hachi;kyū;jū;roku|shichi|hachi|kyū|jū;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
60, 70, 80, 90, 92;roku-jū;nana-jū;hachi-jū;kyū-jū;kyū-jū-ni;roku-jū|nana-jū|hachi-jū|kyū-jū|kyū-jū-ni;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
amortecimento de queda de costas;ushiro-ukemi;yoko-ukemi;mae-ukemi;zenpō-kaiten-ukemi;;ushiro-ukemi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
amortecimento de queda de frente;mae-ukemi;ushiro-ukemi;yoko-ukemi;zenpō-kaiten-ukemi;;mae-ukemi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
amortecimento de queda de lado;yoko-ukemi;ushiro-ukemi;mae-ukemi;zenpō-kaiten-ukemi;;yoko-ukemi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
amortecimento de queda em rolamento para a frente;mae-mawari-ukemi / zenpō-kaiten-ukemi;mae-ukemi;ushiro-ukemi;yoko-ukemi;;mae-mawari-ukemi / zenpō-kaiten-ukemi;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Atenção!;kiotsuke;kiai;hantei;sentido;;kiotsuke;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
